,datetime,precip_in
630,09/21/2013,0.56
631,09/22/2013,0.13
632,09/23/2013,0.0
633,09/24/2013,0.0
634,09/25/2013,0.04
635,09/26/2013,0.0
636,09/27/2013,0.0
637,09/28/2013,0.1
638,09/29/2013,0.0
639,09/30/2013,0.07
640,10/01/2013,0.0
641,10/02/2013,0.16
642,10/03/2013,0.0
643,10/04/2013,0.0
644,10/05/2013,0.0
645,10/06/2013,0.05
646,10/07/2013,0.01
647,10/08/2013,0.03
648,10/09/2013,0.02
649,10/10/2013,5.19
650,10/11/2013,0.3
651,10/12/2013,0.09
652,10/13/2013,0.27
653,10/14/2013,0.13
654,10/15/2013,1.39
655,10/16/2013,0.0
656,10/17/2013,0.12
657,10/18/2013,0.15
658,10/19/2013,1.96
659,10/20/2013,0.26
660,10/21/2013,0.0
661,10/22/2013,0.0
662,10/23/2013,0.0
663,10/24/2013,0.15
664,10/25/2013,0.05
665,10/26/2013,0.01
666,10/27/2013,0.01
667,10/28/2013,0.45
668,10/29/2013,1.16
669,10/30/2013,0.45
670,10/31/2013,1.75
671,11/01/2013,0.03
672,11/02/2013,0.08
673,11/03/2013,0.0
674,11/04/2013,0.0
675,11/05/2013,0.0
676,11/06/2013,0.0
677,11/07/2013,0.0
678,11/08/2013,0.01
679,11/09/2013,0.33
680,11/10/2013,0.42
681,11/11/2013,0.18
682,11/12/2013,0.0
683,11/13/2013,2.36
684,11/14/2013,0.0
685,11/15/2013,0.02
686,11/16/2013,0.0
687,11/17/2013,0.05
688,11/18/2013,0.87
689,11/19/2013,0.11
690,11/20/2013,0.95
691,11/21/2013,0.02
692,11/22/2013,0.05
693,11/23/2013,0.0
694,11/24/2013,2.53
695,11/25/2013,0.21
696,11/26/2013,0.01
697,11/27/2013,0.03
698,11/28/2013,0.07
699,11/29/2013,0.08
700,11/30/2013,1.42
701,12/01/2013,0.09
702,12/02/2013,0.05
703,12/03/2013,0.36
704,12/04/2013,0.14
705,12/05/2013,0.28
706,12/06/2013,0.85
707,12/07/2013,0.73
708,12/08/2013,0.19
709,12/09/2013,1.01
710,12/10/2013,0.65
711,12/11/2013,1.32
712,12/12/2013,0.0
713,12/13/2013,0.03
714,12/14/2013,0.08
715,12/15/2013,0.26
716,12/16/2013,0.03
717,12/17/2013,0.34
718,12/18/2013,0.04
719,12/19/2013,0.05
720,12/20/2013,0.05
721,12/21/2013,0.0
722,12/22/2013,0.0
723,12/23/2013,0.16
724,12/24/2013,0.15
725,12/25/2013,0.0
726,12/26/2013,0.0
727,12/27/2013,0.0
728,12/28/2013,0.0
729,12/29/2013,0.1
730,12/30/2013,0.0
731,12/31/2013,0.55
732,01/01/2014,1.7
733,01/02/2014,0.63
734,01/03/2014,0.6
735,01/04/2014,0.36
736,01/05/2014,0.02
737,01/06/2014,0.67
738,01/07/2014,0.57
739,01/08/2014,1.43
740,01/09/2014,1.09
741,01/10/2014,0.18
742,01/11/2014,0.05
743,01/12/2014,0.28
744,01/13/2014,0.0
745,01/14/2014,0.03
746,01/15/2014,0.15
747,01/16/2014,0.48
748,01/17/2014,0.0
749,01/18/2014,0.0
750,01/19/2014,0.08
751,01/20/2014,0.16
752,01/21/2014,0.0
753,01/22/2014,0.0
754,01/23/2014,0.07
755,01/24/2014,2.45
756,01/25/2014,0.14
757,01/26/2014,0.86
758,01/27/2014,0.1
759,01/28/2014,0.02
760,01/29/2014,0.3
761,01/30/2014,0.13
762,01/31/2014,0.23
763,02/01/2014,0.13
764,02/02/2014,0.26
765,02/03/2014,0.0
766,02/04/2014,0.0
767,02/05/2014,0.0
768,02/06/2014,0.0
769,02/07/2014,0.0
770,02/08/2014,0.25
771,02/09/2014,1.5
772,02/10/2014,0.0
773,02/11/2014,0.0
774,02/12/2014,0.17
775,02/13/2014,0.1
776,02/14/2014,0.98
777,02/15/2014,0.47
778,02/16/2014,0.19
779,02/17/2014,0.53
780,02/18/2014,0.22
781,02/19/2014,0.02
782,02/20/2014,0.0
783,02/21/2014,1.88
784,02/22/2014,0.01
785,02/23/2014,0.06
786,02/24/2014,0.31
787,02/25/2014,0.39
788,02/26/2014,0.39
789,02/27/2014,0.43
790,02/28/2014,0.07
791,03/01/2014,0.04
792,03/02/2014,0.28
793,03/03/2014,0.14
794,03/04/2014,0.14
795,03/05/2014,0.02
796,03/06/2014,2.25
797,03/07/2014,0.13
798,03/08/2014,0.47
799,03/09/2014,0.06
800,03/10/2014,0.09
801,03/11/2014,0.4
802,03/12/2014,0.0
803,03/13/2014,1.3
804,03/14/2014,1.09
805,03/15/2014,0.25
806,03/16/2014,0.03
807,03/17/2014,0.25
808,03/18/2014,0.1
809,03/19/2014,0.36
810,03/20/2014,0.07
811,03/21/2014,0.0
812,03/22/2014,0.0
813,03/23/2014,0.17
814,03/24/2014,0.27
815,03/25/2014,0.0
816,03/26/2014,0.0
817,03/27/2014,0.0
818,03/28/2014,0.14
819,03/29/2014,0.0
820,03/30/2014,0.0
821,03/31/2014,0.0
822,04/01/2014,0.72
823,04/02/2014,0.0
824,04/03/2014,0.08
825,04/04/2014,0.19
826,04/05/2014,0.0
827,04/06/2014,0.85
828,04/07/2014,0.37
829,04/08/2014,0.72
830,04/09/2014,0.7
831,04/10/2014,0.1
832,04/11/2014,0.68
833,04/12/2014,0.34
834,04/13/2014,0.0
835,04/14/2014,0.0
836,04/15/2014,0.23
837,04/16/2014,0.0
838,04/17/2014,0.7
839,04/18/2014,2.07
840,04/19/2014,1.26
841,04/20/2014,0.1
842,04/21/2014,0.0
843,04/22/2014,0.0
844,04/23/2014,0.0
845,04/24/2014,0.3
846,04/25/2014,5.6
847,04/26/2014,1.2
848,04/27/2014,0.6
849,04/28/2014,0.7
850,04/29/2014,0.2
851,04/30/2014,1.06
852,05/01/2014,0.07
853,05/02/2014,0.0
854,05/03/2014,0.35
855,05/04/2014,0.0
856,05/05/2014,0.0
857,05/06/2014,0.2
858,05/07/2014,0.0
859,05/08/2014,0.07
860,05/09/2014,0.08
861,05/10/2014,0.32
862,05/11/2014,0.26
863,05/12/2014,0.23
864,05/13/2014,0.23
865,05/14/2014,0.04
866,05/15/2014,0.03
867,05/16/2014,0.04
868,05/17/2014,0.0
869,05/18/2014,0.34
870,05/19/2014,0.71
871,05/20/2014,0.24
872,05/21/2014,0.0
873,05/22/2014,2.06
874,05/23/2014,1.12
875,05/24/2014,0.46
876,05/25/2014,0.28
877,05/26/2014,0.09
878,05/27/2014,0.0
879,05/28/2014,0.49
880,05/29/2014,1.26
881,05/30/2014,0.0
882,05/31/2014,0.17
883,06/01/2014,0.1
884,06/02/2014,0.06
885,06/03/2014,0.36
886,06/04/2014,0.06
887,06/05/2014,2.39
888,06/06/2014,0.8
889,06/07/2014,0.22
890,06/08/2014,0.16
891,06/09/2014,0.01
892,06/10/2014,0.05
893,06/11/2014,0.18
894,06/12/2014,0.0
895,06/13/2014,0.24
896,06/14/2014,0.1
897,06/15/2014,0.57
898,06/16/2014,1.3
899,06/17/2014,0.85
900,06/18/2014,0.03
901,06/19/2014,0.01
902,06/20/2014,0.04
903,06/21/2014,0.05
904,06/22/2014,0.01
905,06/23/2014,0.04
906,06/24/2014,0.01
907,06/25/2014,0.01
908,06/26/2014,0.66
909,06/27/2014,0.34
910,06/28/2014,0.0
911,06/29/2014,0.0
912,06/30/2014,0.0
913,07/01/2014,0.0
914,07/02/2014,0.16
915,07/03/2014,1.32
916,07/04/2014,0.69
917,07/05/2014,1.51
918,07/06/2014,0.68
919,07/07/2014,0.09
920,07/08/2014,0.03
921,07/09/2014,0.46
922,07/10/2014,0.09
923,07/11/2014,0.0
924,07/12/2014,0.0
925,07/13/2014,0.21
926,07/14/2014,0.11
927,07/15/2014,0.01
928,07/16/2014,0.0
929,07/17/2014,0.0
930,07/18/2014,0.01
931,07/19/2014,0.01
932,07/20/2014,0.0
933,07/21/2014,0.0
934,07/22/2014,0.0
935,07/23/2014,0.83
936,07/24/2014,1.23
937,07/25/2014,0.45
938,07/26/2014,0.02
939,07/27/2014,0.71
940,07/28/2014,0.29
941,07/29/2014,4.9
942,07/30/2014,2.23
943,07/31/2014,3.61
944,08/01/2014,0.24
945,08/02/2014,2.49
946,08/03/2014,0.12
947,08/04/2014,0.28
948,08/05/2014,0.18
949,08/06/2014,0.48
950,08/07/2014,0.0
951,08/08/2014,0.02
952,08/09/2014,0.02
953,08/10/2014,0.0
954,08/11/2014,0.01
955,08/12/2014,0.06
956,08/13/2014,0.0
957,08/14/2014,0.0
958,08/15/2014,0.0
959,08/16/2014,0.0
960,08/17/2014,1.14
961,08/18/2014,0.12
962,08/19/2014,0.65
963,08/20/2014,0.08
964,08/21/2014,0.01
965,08/22/2014,0.09
966,08/23/2014,1.49
967,08/24/2014,0.43
968,08/25/2014,0.73
969,08/26/2014,0.47
970,08/27/2014,1.19
971,08/28/2014,0.19
972,08/29/2014,0.08
973,08/30/2014,0.59
974,08/31/2014,0.38
975,09/01/2014,0.02
976,09/02/2014,0.0
977,09/03/2014,0.01
978,09/04/2014,0.0
979,09/05/2014,0.0
980,09/06/2014,0.06
981,09/07/2014,0.01
982,09/08/2014,0.12
983,09/09/2014,0.37
984,09/10/2014,0.03
985,09/11/2014,0.0
986,09/12/2014,0.14
987,09/13/2014,0.22
988,09/14/2014,0.32
989,09/15/2014,0.41
990,09/16/2014,0.0
991,09/17/2014,0.09
992,09/18/2014,0.05
993,09/19/2014,0.0
994,09/20/2014,0.04
995,09/21/2014,0.0
996,09/22/2014,0.71
997,09/23/2014,1.29
998,09/24/2014,0.24
999,09/25/2014,0.87
1000,09/26/2014,0.14
1001,09/27/2014,0.0
1002,09/28/2014,0.04
1003,09/29/2014,0.0
1004,09/30/2014,0.0
1005,10/01/2014,0.22
1006,10/02/2014,0.04
1007,10/03/2014,0.67
1008,10/04/2014,0.0
1009,10/05/2014,0.01
1010,10/06/2014,0.0
1011,10/07/2014,0.03
1012,10/08/2014,0.0
1013,10/09/2014,0.0
1014,10/10/2014,0.02
1015,10/11/2014,0.11
1016,10/12/2014,0.0
1017,10/13/2014,0.02
1018,10/14/2014,1.32
1019,10/15/2014,1.95
1020,10/16/2014,0.0
1021,10/17/2014,0.08
1022,10/18/2014,0.19
1023,10/19/2014,0.0
1024,10/20/2014,0.0
1025,10/21/2014,0.0
1026,10/22/2014,0.0
1027,10/23/2014,0.0
1028,10/24/2014,0.0
1029,10/25/2014,1.66
1030,10/26/2014,0.01
1031,10/27/2014,0.36
1032,10/28/2014,0.09
1033,10/29/2014,0.0
1034,10/30/2014,0.13
1035,10/31/2014,0.0
1036,11/01/2014,1.05
1037,11/02/2014,1.78
1038,11/03/2014,0.57
1039,11/04/2014,0.02
1040,11/05/2014,0.21
1041,11/06/2014,0.0
1042,11/07/2014,0.0
1043,11/08/2014,0.0
1044,11/09/2014,0.0
1045,11/10/2014,0.12
1046,11/11/2014,0.53
1047,11/12/2014,0.4
1048,11/13/2014,0.0
1049,11/14/2014,0.0
1050,11/15/2014,1.14
1051,11/16/2014,0.81
1052,11/17/2014,0.56
1053,11/18/2014,1.02
1054,11/19/2014,0.84
1055,11/20/2014,0.06
1056,11/21/2014,0.14
1057,11/22/2014,0.68
1058,11/23/2014,0.81
1059,11/24/2014,1.08
1060,11/25/2014,0.11
1061,11/26/2014,0.59
1062,11/27/2014,0.0
1063,11/28/2014,0.0
1064,11/29/2014,0.0
1065,11/30/2014,3.3
1066,12/01/2014,0.09
1067,12/02/2014,0.01
1068,12/03/2014,0.1
1069,12/04/2014,2.56
1070,12/05/2014,0.8
1071,12/06/2014,0.1
1072,12/07/2014,0.2
1073,12/08/2014,0.2
1074,12/09/2014,1.7
1075,12/10/2014,0.3
1076,12/11/2014,0.7
1077,12/12/2014,0.2
1078,12/13/2014,0.1
1079,12/14/2014,0.0
1080,12/15/2014,0.0
