,datetime,precip_in
626,03/17/1960,0.5
627,03/18/1960,1.15
628,03/19/1960,1.65
629,03/20/1960,0.6
630,03/21/1960,0.6
631,03/22/1960,NA
632,03/23/1960,NA
633,03/24/1960,NA
634,03/25/1960,NA
635,03/26/1960,0.3
636,03/27/1960,1.9
637,03/28/1960,0.95
638,03/29/1960,NA
639,03/30/1960,NA
640,03/31/1960,NA
641,04/01/1960,NA
642,04/02/1960,NA
643,04/03/1960,NA
644,04/04/1960,NA
645,04/05/1960,NA
646,04/06/1960,NA
647,04/07/1960,NA
648,04/08/1960,NA
649,04/09/1960,NA
650,04/10/1960,NA
651,04/11/1960,NA
652,04/12/1960,NA
653,04/13/1960,NA
654,04/14/1960,NA
655,04/15/1960,NA
656,04/16/1960,NA
657,04/17/1960,NA
658,04/18/1960,NA
659,04/19/1960,NA
660,04/20/1960,NA
661,04/21/1960,NA
662,04/22/1960,NA
663,04/23/1960,NA
664,04/24/1960,NA
665,04/25/1960,NA
666,04/26/1960,NA
667,04/27/1960,NA
668,04/28/1960,NA
669,04/29/1960,NA
670,04/30/1960,NA
671,05/01/1960,NA
672,05/02/1960,NA
673,05/03/1960,NA
674,05/04/1960,NA
675,05/05/1960,NA
676,05/06/1960,NA
677,05/07/1960,NA
678,05/08/1960,NA
679,05/09/1960,NA
680,05/10/1960,NA
681,05/11/1960,NA
682,05/12/1960,NA
683,05/13/1960,NA
684,05/14/1960,NA
685,05/15/1960,NA
686,05/16/1960,NA
687,05/17/1960,NA
688,05/18/1960,NA
689,05/19/1960,NA
690,05/20/1960,NA
691,05/21/1960,NA
692,05/22/1960,NA
693,05/23/1960,NA
694,05/24/1960,NA
695,05/25/1960,NA
696,05/26/1960,NA
697,05/27/1960,NA
698,05/28/1960,NA
699,05/29/1960,NA
700,05/30/1960,NA
701,05/31/1960,NA
702,06/01/1960,NA
703,06/02/1960,NA
704,06/03/1960,NA
705,06/04/1960,NA
706,06/05/1960,NA
707,06/06/1960,NA
708,06/07/1960,NA
709,06/08/1960,NA
710,06/09/1960,NA
711,06/10/1960,NA
712,06/11/1960,NA
713,06/12/1960,NA
714,06/13/1960,NA
715,06/14/1960,NA
716,06/15/1960,NA
717,06/16/1960,NA
718,06/17/1960,NA
719,06/18/1960,NA
720,06/19/1960,NA
721,06/20/1960,NA
722,06/21/1960,NA
723,06/22/1960,NA
724,06/23/1960,NA
725,06/24/1960,NA
726,06/25/1960,NA
727,06/26/1960,NA
728,06/27/1960,NA
729,06/28/1960,NA
730,06/29/1960,NA
731,06/30/1960,NA
732,07/01/1960,NA
733,07/02/1960,NA
734,07/03/1960,NA
735,07/04/1960,NA
736,07/05/1960,NA
737,07/06/1960,NA
738,07/07/1960,NA
739,07/08/1960,NA
740,07/09/1960,NA
741,07/10/1960,NA
742,07/11/1960,NA
743,07/12/1960,NA
744,07/13/1960,NA
745,07/14/1960,NA
746,07/15/1960,NA
747,07/16/1960,NA
748,07/17/1960,NA
749,07/18/1960,NA
750,07/19/1960,NA
751,07/20/1960,NA
752,07/21/1960,NA
753,07/22/1960,NA
754,07/23/1960,NA
755,07/24/1960,NA
756,07/25/1960,NA
757,07/26/1960,NA
758,07/27/1960,NA
759,07/28/1960,NA
760,07/29/1960,NA
761,07/30/1960,NA
762,07/31/1960,NA
763,08/01/1960,NA
764,08/02/1960,NA
765,08/03/1960,NA
766,08/04/1960,NA
767,08/05/1960,NA
768,08/06/1960,NA
769,08/07/1960,NA
770,08/08/1960,NA
771,08/09/1960,NA
772,08/10/1960,NA
773,08/11/1960,NA
774,08/12/1960,NA
775,08/13/1960,NA
776,08/14/1960,NA
777,08/15/1960,NA
778,08/16/1960,NA
779,08/17/1960,NA
780,08/18/1960,NA
781,08/19/1960,NA
782,08/20/1960,NA
783,08/21/1960,NA
784,08/22/1960,NA
785,08/23/1960,NA
786,08/24/1960,NA
787,08/25/1960,NA
788,08/26/1960,NA
789,08/27/1960,NA
790,08/28/1960,NA
791,08/29/1960,NA
792,08/30/1960,NA
793,08/31/1960,NA
794,09/01/1960,NA
795,09/02/1960,NA
796,09/03/1960,NA
797,09/04/1960,NA
798,09/05/1960,NA
799,09/06/1960,NA
800,09/07/1960,NA
801,09/08/1960,NA
