trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
67,7.661857202444459,1,6,2576,240,9,16,512,96,0.05,0.0007627573850932732,0.00010663231554651618,2048
68,7.716949114686199,1,6,2336,240,9,24,512,80,0.0,0.0006419131570724665,0.00011940806322265814,2048
69,7.739221107247239,0,6,2432,224,8,16,512,112,0.05,0.000820964222981624,0.00025005202298766793,2048
70,7.885097334880631,1,5,2592,240,9,20,512,96,0.05,0.0015608557797351613,0.00010343500461871967,512
71,7.7301064790930125,1,6,2720,224,10,16,448,96,0.05,0.0005367458578904759,6.616548834863866e-05,2048
72,7.738154539906394,1,6,2288,208,9,20,512,96,0.05,0.00040787000317371813,0.0004246616682888865,2048
73,7.709107712124243,1,6,2464,256,10,12,512,112,0.1,0.0002721194833502473,0.00016038912501409742,2048
74,7.681135413081523,1,6,2560,208,10,8,448,80,0.0,0.00042198872981072285,0.0002073162798196348,2048
75,7.785019376989524,1,5,2784,240,9,8,512,80,0.0,0.0004892820846712062,0.00024851095466671213,2048
76,7.67588227057863,2,6,2560,224,6,16,448,80,0.0,0.0009113168108287139,5.5667025157342674e-05,2048
77,7.714505937952005,2,5,2672,224,6,20,512,80,0.05,0.0009899001592605415,5.519541697845613e-05,2048
78,7.795520161100343,2,6,2400,240,5,28,448,112,0.0,0.002497846961657787,9.301558033295074e-05,2048
79,7.703329538908977,2,6,2944,256,6,16,512,80,0.05,0.00021014288442368134,2.9342426801068362e-05,2048
80,7.782320242145676,2,5,2736,224,5,24,512,96,0.05,0.0007958322739489586,4.1104770136079785e-05,2048
81,7.80770799372223,1,6,2576,208,7,12,448,80,0.0,0.0006488654335413093,0.00012459880091380776,2048
82,7.703096651852558,1,6,2544,192,8,16,448,80,0.0,0.0012645270817581268,5.857725233027493e-05,2048
83,7.68327243889285,1,6,2352,240,9,8,448,96,0.0,6.513413094566462e-05,1.61929160639824e-05,2048
84,7.730755393701638,2,6,2464,208,10,4,512,80,0.05,9.767121469295616e-05,8.445296338676612e-05,2048
85,7.802597983419303,0,6,2576,224,10,12,448,96,0.0,0.00029548357794191923,0.0004660017384733547,2048
86,7.861362985982765,2,6,2752,80,9,12,512,80,0.05,0.0001500018729719256,0.00012727838948289966,512
87,7.699872540636668,1,5,2640,32,7,8,384,96,0.0,0.00044020277254280945,0.0003154339739524474,2048
88,7.7956858631105534,1,6,2992,240,10,16,448,80,0.05,0.0005757378205217364,3.2306632445136245e-05,2048
89,7.672598772447901,2,6,2688,192,4,20,512,64,0.1,0.00022828567875673154,0.00020410472029414408,2048
90,7.745850783982008,2,5,2912,192,4,24,512,64,0.1,0.00021845835606397696,0.00011203264063872417,2048
91,7.7731136240809064,2,6,2800,208,3,20,512,64,0.1,0.0008572811885654937,4.80212035475384e-05,2048
92,7.731427037762277,2,6,2480,224,4,12,512,64,0.05,5.5522851596279817e-05,0.00021034230371108308,2048
93,7.657760517118848,1,6,2560,208,8,16,448,96,0.15000000000000002,0.00016010995120911448,0.00013895252433489025,2048
94,7.6662796518836975,2,6,2688,224,8,20,512,112,0.15000000000000002,0.0001744837045430898,7.508547966713967e-05,2048
95,7.69473609807591,1,6,2688,192,8,20,512,112,0.15000000000000002,0.00016086007863272937,0.00013609091874949888,2048
96,7.6462182012162225,1,6,2608,240,8,20,512,112,0.15000000000000002,0.00012778211879481663,7.232821671620943e-05,2048
97,7.616965710663337,1,6,2640,256,8,16,512,128,0.15000000000000002,0.0001264639317886295,7.527213831538864e-05,2048
98,7.735200516485789,1,6,2640,256,8,28,512,128,0.15000000000000002,8.206416270421e-05,6.992786137177657e-05,1024
99,7.620096963523447,1,5,2608,256,8,16,512,128,0.15000000000000002,0.00012769079582508543,9.14166748734301e-05,2048
