trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size,tweedie_p
42,242.56412322125723,1,2,2992,192,11,24,128,96,0.25,2.134444641247421e-05,0.00020458326316727306,256,1.6
43,242.26991843198167,2,1,3200,224,12,20,64,96,0.2,5.5204751865918095e-06,0.00034061293220398307,256,1.6500000000000001
44,241.6048865090213,0,3,2816,144,10,16,64,64,0.2,1.5096825370934745e-06,0.0007391931837249905,256,1.7000000000000002
45,241.86417270294453,1,3,2688,192,11,8,128,112,0.25,0.00017121658455782884,0.00011868962375757534,256,1.6
46,238.40767105191853,2,4,3632,80,12,32,64,112,0.25,4.208276702585785e-05,5.577175339063015e-06,256,1.6500000000000001
47,242.31427568932665,2,4,2512,80,12,24,512,112,0.25,5.942056446239014e-05,3.2498799606632985e-06,256,1.75
48,250.3568896117573,1,4,3680,32,11,32,64,128,0.3,3.258601416209658e-05,5.386366573362578e-06,256,1.6500000000000001
49,245.30629075451375,2,5,3648,48,12,12,448,112,0.25,1.058403748891658e-05,1.1804253883140772e-05,256,1.7000000000000002
50,240.47407060220976,3,6,3808,160,10,20,320,80,0.25,4.9939578940236685e-06,6.0772174243061445e-06,256,1.7000000000000002
51,238.18040241901895,0,2,3504,80,6,48,64,96,0.2,2.4813591000546317e-05,1.4166099429953279e-06,1024,1.6500000000000001
52,241.4649744054848,0,2,3552,80,7,60,64,96,0.2,2.7804306301482388e-05,3.698862735527327e-07,1024,1.6500000000000001
53,241.3950161325262,1,3,3472,80,6,28,128,96,0.2,9.486038299022819e-05,1.6691986482212823e-06,1024,1.6500000000000001
54,241.14130280232186,0,4,3808,48,12,32,64,112,0.3,2.000509258371806e-06,7.811822959271021e-07,256,1.6500000000000001
55,243.0522637704111,2,2,3440,96,6,24,64,80,0.2,1.4338203339817036e-05,4.3949478808006434e-07,1024,1.85
56,241.85522516217762,1,3,3600,176,11,48,128,128,0.15000000000000002,5.824163610853464e-05,1.7411811134310687e-07,256,1.7000000000000002
