rainfall,date
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
6.500000000000001,059_1963-06
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
3.7,060_1963-07
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
16.88,061_1963-08
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
6.199999999999999,062_1963-09
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
34.849999999999994,063_1963-10
