trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
187,238.62817976529087,0,3,2368,160,12,8,448,128,0.1,6.635350822762157e-06,1.512450175856657e-08,512
188,240.08063414238302,0,3,2288,144,12,8,464,128,0.1,3.934414827537518e-06,3.2125555510920863e-08,512
189,236.32646876168224,0,3,2336,160,12,8,432,128,0.1,1.1714972574687097e-05,1.472359864172708e-08,512
190,239.05699235592397,0,3,2320,176,12,12,416,128,0.1,1.2311341815527901e-05,1.3604160059269756e-08,512
191,239.2445325421228,0,3,2272,160,12,8,432,128,0.1,3.0582014383300033e-06,1.0163068897097852e-08,256
192,237.6574851406608,0,3,2336,160,12,4,208,128,0.05,4.232906706152686e-06,1.7851183800885802e-08,512
193,238.37350297561386,1,3,2272,176,12,12,432,128,0.1,1.1392348650445468e-05,1.4830134307423247e-08,512
194,239.78950012132668,0,3,2384,160,12,4,448,128,0.1,6.386607429656423e-06,1.758740313833922e-08,512
195,237.70082730723814,0,3,2304,176,12,8,448,128,0.1,9.13035328881973e-06,2.9594035674384513e-08,512
196,239.56425223550949,0,3,2352,192,12,8,416,128,0.1,7.2525574460458734e-06,2.1488855281464428e-08,512
197,235.80772380702751,0,3,2272,176,12,4,480,128,0.1,5.138498608335982e-06,1.2609465025520128e-08,512
198,236.82717052741555,0,3,2288,176,12,4,480,128,0.1,5.334362220885119e-06,1.2733029321284403e-08,512
199,239.21280085599298,0,3,2272,176,12,4,496,128,0.1,5.5438651677542125e-06,1.212585679209788e-08,512
200,238.5179122361561,0,3,2240,160,12,8,480,128,0.05,4.72580443975109e-06,1.2411240287651467e-08,512
201,253.13890755112243,0,3,2272,176,12,4,496,128,0.15000000000000002,0.0030215723005134307,1.4638298204219934e-08,512
202,238.9097780058944,0,3,2320,176,12,12,512,128,0.1,3.6346439277016182e-06,3.842479584269275e-08,512
203,234.71460156920034,0,3,2240,160,12,4,480,128,0.1,9.63046349385816e-06,1.034816215314247e-08,512
204,236.26789265081536,0,3,2272,160,12,4,480,128,0.1,1.052490965514621e-05,1.2790068233671738e-08,512
205,239.43518362165085,0,3,2240,144,12,8,480,128,0.1,1.4456089896263041e-05,1.1040001631733122e-08,512
206,238.29956924722364,0,3,2272,160,12,4,480,128,0.1,1.0256954343723643e-05,1.0462826692810739e-08,512
207,237.66333984653647,0,3,2240,144,12,4,496,128,0.05,1.6751608464270657e-05,1.569783200366927e-08,512
208,239.78077743824494,0,3,2336,160,12,8,464,128,0.1,6.85507882237179e-06,1.414576796311824e-08,1024
209,236.60930680106358,0,3,2288,160,12,4,480,128,0.1,9.502455692312555e-06,1.8582501728872895e-08,512
210,238.2806300770831,0,3,2304,160,12,4,496,128,0.1,1.1585677985710015e-05,1.6542864279649828e-08,512
211,237.7506227051549,1,3,2272,144,12,4,480,128,0.15000000000000002,8.924695642187235e-06,1.021301552970521e-08,512
212,238.92446764481966,0,3,2336,160,12,8,464,128,0.1,9.151039582010139e-06,2.0098272730538934e-08,512
213,246.24061852827535,0,2,3200,176,12,4,480,128,0.1,1.3632909653696902e-05,1.3011989029961738e-08,512
214,238.3606502812859,0,3,2272,160,12,4,464,128,0.1,5.732180551614084e-06,1.8955982524372566e-08,512
215,238.85014728918887,0,3,2240,176,12,8,96,128,0.1,7.3196800737439495e-06,2.612829817945306e-08,512
216,238.08505233818298,0,3,2304,160,12,8,512,128,0.1,5.144308409902161e-06,1.4123432272848275e-08,512
217,235.86094512745322,0,3,2272,176,12,4,480,128,0.05,9.88251521296336e-06,1.8090004117783485e-08,512
218,238.58351843370096,0,3,2352,176,12,4,480,128,0.05,1.0702571623408396e-05,1.001205052377834e-08,512
219,236.67749802538,0,3,2288,176,12,4,496,128,0.05,1.3968991495941028e-05,1.7266065368628128e-08,512
220,238.9632772972466,0,3,2240,176,12,4,496,128,0.05,1.7934014077243868e-05,2.1845503872574104e-08,512
