dataset,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
date_011_1959-06/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/omega_500,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/shum_700,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/shum_925,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/slp,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_011_1959-06/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_011_1959-06/grid_points,only_in_a,"(25, 2)",,,
date_011_1959-06/local_patches,only_in_a,"(25, 3, 3)",,,
date_011_1959-06/month_one_hot,only_in_a,"(12,)",,,
date_011_1959-06/rainfall,only_in_a,"(25,)",,,
date_011_1959-06/regional_patches,only_in_a,"(25, 3, 3)",,,
date_012_1959-07/climate_vars/air_2m,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/omega_500,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/shum_700,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/shum_925,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/slp,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_012_1959-07/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_012_1959-07/grid_points,only_in_a,"(25, 2)",,,
date_012_1959-07/local_patches,only_in_a,"(25, 3, 3)",,,
date_012_1959-07/month_one_hot,only_in_a,"(12,)",,,
date_012_1959-07/rainfall,only_in_a,"(25,)",,,
date_012_1959-07/regional_patches,only_in_a,"(25, 3, 3)",,,
date_013_1959-08/climate_vars/air_2m,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/omega_500,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/shum_700,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/shum_925,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/slp,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_013_1959-08/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_013_1959-08/grid_points,only_in_a,"(25, 2)",,,
date_013_1959-08/local_patches,only_in_a,"(25, 3, 3)",,,
date_013_1959-08/month_one_hot,only_in_a,"(12,)",,,
date_013_1959-08/rainfall,only_in_a,"(25,)",,,
date_013_1959-08/regional_patches,only_in_a,"(25, 3, 3)",,,
date_014_1959-09/climate_vars/air_2m,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/omega_500,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/shum_700,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/shum_925,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/slp,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_014_1959-09/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_014_1959-09/grid_points,only_in_a,"(25, 2)",,,
date_014_1959-09/local_patches,only_in_a,"(25, 3, 3)",,,
date_014_1959-09/month_one_hot,only_in_a,"(12,)",,,
date_014_1959-09/rainfall,only_in_a,"(25,)",,,
date_014_1959-09/regional_patches,only_in_a,"(25, 3, 3)",,,
date_015_1959-10/climate_vars/air_2m,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/omega_500,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/shum_700,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/shum_925,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/slp,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_015_1959-10/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_015_1959-10/grid_points,only_in_a,"(25, 2)",,,
date_015_1959-10/local_patches,only_in_a,"(25, 3, 3)",,,
date_015_1959-10/month_one_hot,only_in_a,"(12,)",,,
date_015_1959-10/rainfall,only_in_a,"(25,)",,,
date_015_1959-10/regional_patches,only_in_a,"(25, 3, 3)",,,
date_016_1959-11/climate_vars/air_2m,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/omega_500,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/shum_700,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/shum_925,only_in_a,"(25,)",,,
