,datetime,precip_in
500,11/12/1959,NA
501,11/13/1959,0.15
502,11/14/1959,1.4
503,11/15/1959,0.2
504,11/16/1959,2
505,11/17/1959,NA
506,11/18/1959,NA
507,11/19/1959,NA
508,11/20/1959,NA
509,11/21/1959,1.1
510,11/22/1959,NA
511,11/23/1959,0.5
512,11/24/1959,0.3
513,11/25/1959,0.85
514,11/26/1959,1
515,11/27/1959,NA
516,11/28/1959,1.5
517,11/29/1959,0.15
518,11/30/1959,0.35
519,12/1/1959,NA
520,12/2/1959,NA
521,12/3/1959,NA
522,12/4/1959,2.2
523,12/5/1959,0.55
524,12/6/1959,2.2
525,12/7/1959,0.45
526,12/8/1959,5.95
527,12/9/1959,0.75
528,12/10/1959,0.45
529,12/11/1959,0.85
530,12/12/1959,0.35
531,12/13/1959,0.35
532,12/14/1959,1.25
533,12/15/1959,2.65
534,12/16/1959,1.65
535,12/17/1959,0.15
536,12/18/1959,0.35
537,12/19/1959,0.4
538,12/20/1959,NA
539,12/21/1959,1.15
540,12/22/1959,1.25
541,12/23/1959,4.85
542,12/24/1959,2.4
543,12/25/1959,4.65
544,12/26/1959,8.15
545,12/27/1959,1.15
546,12/28/1959,2.7
547,12/29/1959,0.3
548,12/30/1959,0.65
549,12/31/1959,1.1
550,1/1/1960,0.15
551,1/2/1960,NA
552,1/3/1960,0.6
553,1/4/1960,NA
554,1/5/1960,NA
555,1/6/1960,0.65
556,1/7/1960,1.2
557,1/8/1960,NA
558,1/9/1960,0.2
559,1/10/1960,0.1
560,1/11/1960,NA
561,1/12/1960,NA
562,1/13/1960,0.05
563,1/14/1960,0.1
564,1/15/1960,0.1
565,1/16/1960,0.35
566,1/17/1960,3.25
567,1/18/1960,3.4
568,1/19/1960,2.85
569,1/20/1960,1.2
570,1/21/1960,1.45
571,1/22/1960,1.45
572,1/23/1960,1.1
573,1/24/1960,1.3
574,1/25/1960,0.25
575,1/26/1960,0.2
576,1/27/1960,0.3
577,1/28/1960,0.15
578,1/29/1960,0.45
579,1/30/1960,2
580,1/31/1960,0.3
581,2/1/1960,1.1
582,2/2/1960,0.15
583,2/3/1960,0.85
584,2/4/1960,0.15
585,2/5/1960,0.85
586,2/6/1960,0.5
587,2/7/1960,2
588,2/8/1960,1.35
589,2/9/1960,0.75
590,2/10/1960,0.25
591,2/11/1960,NA
592,2/12/1960,NA
593,2/13/1960,NA
594,2/14/1960,3.75
595,2/15/1960,1.35
596,2/16/1960,0.1
597,2/17/1960,1.15
598,2/18/1960,0.35
599,2/19/1960,NA
600,2/20/1960,1.15
601,2/21/1960,1.95
602,2/22/1960,1.2
603,2/23/1960,0.3
604,2/24/1960,NA
605,2/25/1960,1.5
606,2/26/1960,0.65
607,2/27/1960,0.95
608,2/28/1960,NA
609,2/29/1960,NA
610,3/1/1960,NA
611,3/2/1960,NA
612,3/3/1960,NA
613,3/4/1960,NA
614,3/5/1960,0.4
615,3/6/1960,0.7
616,3/7/1960,NA
617,3/8/1960,0.5
618,3/9/1960,0.55
619,3/10/1960,0.5
620,3/11/1960,0.35
621,3/12/1960,0.6
622,3/13/1960,1.25
623,3/14/1960,0.75
624,3/15/1960,1.15
625,3/16/1960,NA
626,3/17/1960,0.5
627,3/18/1960,1.15
628,3/19/1960,1.65
629,3/20/1960,0.6
630,3/21/1960,0.6
631,3/22/1960,NA
632,3/23/1960,NA
633,3/24/1960,NA
634,3/25/1960,NA
635,3/26/1960,0.3
636,3/27/1960,1.9
637,3/28/1960,0.95
638,3/29/1960,NA
639,3/30/1960,NA
640,3/31/1960,NA
641,4/1/1960,NA
642,4/2/1960,NA
643,4/3/1960,NA
644,4/4/1960,NA
645,4/5/1960,NA
646,4/6/1960,NA
647,4/7/1960,NA
648,4/8/1960,NA
649,4/9/1960,NA
650,4/10/1960,NA
651,4/11/1960,NA
652,4/12/1960,NA
653,4/13/1960,NA
654,4/14/1960,NA
655,4/15/1960,NA
656,4/16/1960,NA
657,4/17/1960,NA
658,4/18/1960,NA
659,4/19/1960,NA
660,4/20/1960,NA
661,4/21/1960,NA
662,4/22/1960,NA
663,4/23/1960,NA
664,4/24/1960,NA
665,4/25/1960,NA
666,4/26/1960,NA
667,4/27/1960,NA
668,4/28/1960,NA
669,4/29/1960,NA
670,4/30/1960,NA
671,5/1/1960,NA
672,5/2/1960,NA
673,5/3/1960,NA
674,5/4/1960,NA
675,5/5/1960,NA
676,5/6/1960,NA
677,5/7/1960,NA
678,5/8/1960,NA
679,5/9/1960,NA
680,5/10/1960,NA
681,5/11/1960,NA
682,5/12/1960,NA
683,5/13/1960,NA
684,5/14/1960,NA
685,5/15/1960,NA
686,5/16/1960,NA
687,5/17/1960,NA
688,5/18/1960,NA
689,5/19/1960,NA
690,5/20/1960,NA
691,5/21/1960,NA
692,5/22/1960,NA
693,5/23/1960,NA
694,5/24/1960,NA
695,5/25/1960,NA
696,5/26/1960,NA
697,5/27/1960,NA
698,5/28/1960,NA
699,5/29/1960,NA
700,5/30/1960,NA
701,5/31/1960,NA
702,6/1/1960,NA
703,6/2/1960,NA
704,6/3/1960,NA
