trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
52,8.232557663586208,2,2,3120,160,12,16,128,80,0.15000000000000002,0.00515596594294704,2.2734775830546816e-05,512
53,8.208000920187175,2,1,3328,256,7,12,128,64,0.15000000000000002,0.001883436460226565,1.1948416021027907e-05,512
54,7.90787814337633,2,2,3632,224,12,20,128,80,0.15000000000000002,0.0009438624665706087,3.016227364935882e-06,512
55,7.938556541216151,3,4,2816,256,11,16,192,64,0.2,0.0002822425405047332,3.2847358224926724e-05,512
56,7.968162197356068,1,1,3072,176,5,8,128,112,0.2,0.002133749425676197,0.0002148612312898895,512
57,7.959155845453811,2,3,2992,192,6,12,64,96,0.25,0.005924977379260984,8.462596983450614e-05,256
58,7.883574178655931,3,3,2368,224,9,4,192,80,0.15000000000000002,0.00081025681576944,4.831865237036388e-06,1024
59,8.069108501734958,2,5,3488,240,3,56,320,64,0.1,0.00011924120367533516,2.2090653380038815e-06,512
60,8.213469163697148,2,0,2608,208,10,8,256,96,0.25,0.0004502342823012675,1.4368947903802362e-05,512
61,7.861061179611312,3,1,3696,256,8,16,128,128,0.0,0.000203998949130629,4.709769189868165e-05,256
62,7.749667700509882,2,4,3184,208,10,20,320,48,0.2,2.231906163043212e-05,4.130897950537345e-06,512
63,7.763902252137843,2,4,3264,176,12,24,384,48,0.2,2.4786273351275598e-05,8.265765947863945e-06,512
64,7.914280066584126,2,4,2928,176,12,28,384,48,0.2,2.7162380113798344e-06,8.871703400864253e-06,512
65,7.869513386865566,2,4,3280,144,9,28,384,48,0.2,2.0870995407400368e-05,4.229096397561572e-06,512
66,7.748161512065807,2,5,3248,160,12,24,320,32,0.2,1.4692251375676376e-05,2.8887930368809692e-06,512
67,7.946409196730016,2,5,3232,192,12,24,320,32,0.25,4.7789469140836155e-06,1.58896025790224e-06,1024
68,7.855397576438652,2,5,3360,224,11,36,320,16,0.2,1.4313124158211774e-05,2.62741189827308e-06,512
69,7.879942890923037,2,6,3088,128,12,32,384,32,0.2,1.938784315819114e-06,6.697221621800481e-06,512
70,8.07354992062159,1,4,3152,176,10,20,320,48,0.25,2.4928293946578998e-05,2.9286547495267296e-06,256
71,7.814659803064341,2,5,2880,256,11,28,448,32,0.15000000000000002,4.383743278014326e-05,7.645949036786779e-07,512
72,7.809944317606086,2,5,2752,256,11,28,448,32,0.15000000000000002,4.1586210159669836e-05,4.645708378706157e-07,512
73,7.963448035708523,2,4,2752,240,12,24,512,16,0.2,1.9501226928942006e-05,1.8712102715224575e-07,512
74,7.778027927278977,2,5,2944,256,11,32,448,32,0.2,1.0389385967674362e-05,1.8167928409767605e-07,512
